date,deaths
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,7
2020-03-22,7
2020-03-23,7
2020-03-24,7
2020-03-25,9
2020-03-26,8
2020-03-27,13
2020-03-28,14
2020-03-29,21
2020-03-30,22
2020-03-31,22
2020-04-01,26
2020-04-02,28
2020-04-03,28
2020-04-04,29
2020-04-05,35
2020-04-06,38
2020-04-07,43
2020-04-08,46
2020-04-09,47
2020-04-10,52
2020-04-11,56
2020-04-12,60
2020-04-13,63
2020-04-14,68
2020-04-15,68
2020-04-16,68
2020-04-17,71
2020-04-18,73
2020-04-19,74
2020-04-20,76
2020-04-21,80
2020-04-22,80
2020-04-23,83
2020-04-24,85
2020-04-25,86
2020-04-26,88
2020-04-27,89
